"Step","offset 10 (3) modulo - loss","offset 10 (3) modulo - loss__MIN","offset 10 (3) modulo - loss__MAX","offset 10 (2) modulo - loss","offset 10 (2) modulo - loss__MIN","offset 10 (2) modulo - loss__MAX","offset 10 (1) modulo - loss","offset 10 (1) modulo - loss__MIN","offset 10 (1) modulo - loss__MAX"
"0","5.724015712738037","5.724015712738037","5.724015712738037","5.7034220695495605","5.7034220695495605","5.7034220695495605","5.888153553009033","5.888153553009033","5.888153553009033"
"100","5.68019437789917","5.68019437789917","5.68019437789917","5.690762519836426","5.690762519836426","5.690762519836426","5.529776573181152","5.529776573181152","5.529776573181152"
"200","5.601617336273193","5.601617336273193","5.601617336273193","5.463498115539551","5.463498115539551","5.463498115539551","5.5507731437683105","5.5507731437683105","5.5507731437683105"
"300","5.513747692108154","5.513747692108154","5.513747692108154","5.554966449737549","5.554966449737549","5.554966449737549","5.434831142425537","5.434831142425537","5.434831142425537"
"400","5.578629016876221","5.578629016876221","5.578629016876221","5.572188854217529","5.572188854217529","5.572188854217529","5.5671868324279785","5.5671868324279785","5.5671868324279785"
"500","5.542520523071289","5.542520523071289","5.542520523071289","5.499360084533691","5.499360084533691","5.499360084533691","5.550063610076904","5.550063610076904","5.550063610076904"
"600","5.5742645263671875","5.5742645263671875","5.5742645263671875","5.529647350311279","5.529647350311279","5.529647350311279","5.51775598526001","5.51775598526001","5.51775598526001"
"700","5.625205039978027","5.625205039978027","5.625205039978027","5.459513187408447","5.459513187408447","5.459513187408447","5.658911228179932","5.658911228179932","5.658911228179932"
"800","5.482705116271973","5.482705116271973","5.482705116271973","5.513476371765137","5.513476371765137","5.513476371765137","5.584770202636719","5.584770202636719","5.584770202636719"
"900","5.491602420806885","5.491602420806885","5.491602420806885","5.491659164428711","5.491659164428711","5.491659164428711","5.505178928375244","5.505178928375244","5.505178928375244"
"1000","5.486643314361572","5.486643314361572","5.486643314361572","5.49130392074585","5.49130392074585","5.49130392074585","5.628502368927002","5.628502368927002","5.628502368927002"
"1100","5.626861572265625","5.626861572265625","5.626861572265625","5.51998233795166","5.51998233795166","5.51998233795166","5.622943878173828","5.622943878173828","5.622943878173828"
"1200","5.537965774536133","5.537965774536133","5.537965774536133","5.596264839172363","5.596264839172363","5.596264839172363","5.455208778381348","5.455208778381348","5.455208778381348"
"1300","5.49104118347168","5.49104118347168","5.49104118347168","5.545200824737549","5.545200824737549","5.545200824737549","5.642132759094238","5.642132759094238","5.642132759094238"
"1400","5.523782730102539","5.523782730102539","5.523782730102539","5.517463684082031","5.517463684082031","5.517463684082031","5.498051643371582","5.498051643371582","5.498051643371582"
"1500","5.569439888000488","5.569439888000488","5.569439888000488","5.500787734985352","5.500787734985352","5.500787734985352","5.529606342315674","5.529606342315674","5.529606342315674"
"1600","5.584927558898926","5.584927558898926","5.584927558898926","5.510369300842285","5.510369300842285","5.510369300842285","5.525937080383301","5.525937080383301","5.525937080383301"
"1700","5.522980213165283","5.522980213165283","5.522980213165283","5.556496620178223","5.556496620178223","5.556496620178223","5.478124141693115","5.478124141693115","5.478124141693115"
"1800","5.573890209197998","5.573890209197998","5.573890209197998","5.588799476623535","5.588799476623535","5.588799476623535","5.530526161193848","5.530526161193848","5.530526161193848"
"1900","5.511016845703125","5.511016845703125","5.511016845703125","5.604635715484619","5.604635715484619","5.604635715484619","5.614071369171143","5.614071369171143","5.614071369171143"
"2000","5.51157283782959","5.51157283782959","5.51157283782959","5.532084941864014","5.532084941864014","5.532084941864014","5.567609786987305","5.567609786987305","5.567609786987305"
"2100","5.548562526702881","5.548562526702881","5.548562526702881","5.56605339050293","5.56605339050293","5.56605339050293","5.577854633331299","5.577854633331299","5.577854633331299"
"2200","5.548630237579346","5.548630237579346","5.548630237579346","5.528006076812744","5.528006076812744","5.528006076812744","5.581855773925781","5.581855773925781","5.581855773925781"
"2300","5.478248119354248","5.478248119354248","5.478248119354248","5.578473091125488","5.578473091125488","5.578473091125488","5.6449103355407715","5.6449103355407715","5.6449103355407715"
"2400","5.50158166885376","5.50158166885376","5.50158166885376","5.528196811676025","5.528196811676025","5.528196811676025","5.563060283660889","5.563060283660889","5.563060283660889"
"2500","5.5281982421875","5.5281982421875","5.5281982421875","5.455068111419678","5.455068111419678","5.455068111419678","5.581421852111816","5.581421852111816","5.581421852111816"
"2600","5.558269500732422","5.558269500732422","5.558269500732422","5.594977855682373","5.594977855682373","5.594977855682373","5.588440418243408","5.588440418243408","5.588440418243408"
"2700","5.4637579917907715","5.4637579917907715","5.4637579917907715","5.556655406951904","5.556655406951904","5.556655406951904","5.578704357147217","5.578704357147217","5.578704357147217"
"2800","5.584986209869385","5.584986209869385","5.584986209869385","5.564720153808594","5.564720153808594","5.564720153808594","5.595992565155029","5.595992565155029","5.595992565155029"
"2900","5.49176025390625","5.49176025390625","5.49176025390625","5.579046249389648","5.579046249389648","5.579046249389648","5.546597480773926","5.546597480773926","5.546597480773926"
"3000","5.506099700927734","5.506099700927734","5.506099700927734","5.534041404724121","5.534041404724121","5.534041404724121","5.545658111572266","5.545658111572266","5.545658111572266"
"3100","5.555641174316406","5.555641174316406","5.555641174316406","5.583130836486816","5.583130836486816","5.583130836486816","5.511263847351074","5.511263847351074","5.511263847351074"
"3200","5.481303691864014","5.481303691864014","5.481303691864014","5.505540370941162","5.505540370941162","5.505540370941162","5.585476398468018","5.585476398468018","5.585476398468018"
"3300","5.586866855621338","5.586866855621338","5.586866855621338","5.52299690246582","5.52299690246582","5.52299690246582","5.513804912567139","5.513804912567139","5.513804912567139"
"3400","5.5189409255981445","5.5189409255981445","5.5189409255981445","5.480720520019531","5.480720520019531","5.480720520019531","5.560825347900391","5.560825347900391","5.560825347900391"
"3500","5.584243297576904","5.584243297576904","5.584243297576904","5.5151286125183105","5.5151286125183105","5.5151286125183105","5.519560813903809","5.519560813903809","5.519560813903809"
