"Step","offset 100 (3) - loss","offset 100 (3) - loss__MIN","offset 100 (3) - loss__MAX","offset 100 (2) - loss","offset 100 (2) - loss__MIN","offset 100 (2) - loss__MAX","offset 100 (1) - loss","offset 100 (1) - loss__MIN","offset 100 (1) - loss__MAX","offset 100 (5) - loss","offset 100 (5) - loss__MIN","offset 100 (5) - loss__MAX","offset 100 (4) - loss","offset 100 (4) - loss__MIN","offset 100 (4) - loss__MAX"
"2000","5.627001762390137","5.627001762390137","5.627001762390137","5.464195728302002","5.464195728302002","5.464195728302002","5.500716686248779","5.500716686248779","5.500716686248779","5.506402015686035","5.506402015686035","5.506402015686035","5.520745277404785","5.520745277404785","5.520745277404785"
"2100","5.514703273773193","5.514703273773193","5.514703273773193","5.545845985412598","5.545845985412598","5.545845985412598","5.650179386138916","5.650179386138916","5.650179386138916","5.566627502441406","5.566627502441406","5.566627502441406","5.525273323059082","5.525273323059082","5.525273323059082"
"2200","5.5233612060546875","5.5233612060546875","5.5233612060546875","5.617038249969482","5.617038249969482","5.617038249969482","5.605622291564941","5.605622291564941","5.605622291564941","5.503855228424072","5.503855228424072","5.503855228424072","5.538826942443848","5.538826942443848","5.538826942443848"
"2300","5.631802558898926","5.631802558898926","5.631802558898926","5.636050224304199","5.636050224304199","5.636050224304199","5.547948837280273","5.547948837280273","5.547948837280273","5.512852668762207","5.512852668762207","5.512852668762207","5.526189804077148","5.526189804077148","5.526189804077148"
"2400","5.593946933746338","5.593946933746338","5.593946933746338","5.506484031677246","5.506484031677246","5.506484031677246","5.530786991119385","5.530786991119385","5.530786991119385","5.477303981781006","5.477303981781006","5.477303981781006","5.589474678039551","5.589474678039551","5.589474678039551"
"2500","5.563258647918701","5.563258647918701","5.563258647918701","5.485411167144775","5.485411167144775","5.485411167144775","5.578110218048096","5.578110218048096","5.578110218048096","5.5145769119262695","5.5145769119262695","5.5145769119262695","5.4862470626831055","5.4862470626831055","5.4862470626831055"
"2600","5.4766316413879395","5.4766316413879395","5.4766316413879395","5.521857261657715","5.521857261657715","5.521857261657715","5.523176670074463","5.523176670074463","5.523176670074463","5.5423455238342285","5.5423455238342285","5.5423455238342285","5.577000141143799","5.577000141143799","5.577000141143799"
"2700","5.555761814117432","5.555761814117432","5.555761814117432","5.509308815002441","5.509308815002441","5.509308815002441","5.5510687828063965","5.5510687828063965","5.5510687828063965","5.589331150054932","5.589331150054932","5.589331150054932","5.542035102844238","5.542035102844238","5.542035102844238"
"2800","5.540082931518555","5.540082931518555","5.540082931518555","5.485939979553223","5.485939979553223","5.485939979553223","5.538005828857422","5.538005828857422","5.538005828857422","5.546566009521484","5.546566009521484","5.546566009521484","5.604671478271484","5.604671478271484","5.604671478271484"
"2900","5.58193302154541","5.58193302154541","5.58193302154541","5.519859313964844","5.519859313964844","5.519859313964844","5.517024993896484","5.517024993896484","5.517024993896484","5.476561069488525","5.476561069488525","5.476561069488525","5.562954425811768","5.562954425811768","5.562954425811768"
"3000","5.466938495635986","5.466938495635986","5.466938495635986","5.542192459106445","5.542192459106445","5.542192459106445","5.4913506507873535","5.4913506507873535","5.4913506507873535","5.528507232666016","5.528507232666016","5.528507232666016","5.495274066925049","5.495274066925049","5.495274066925049"
"3100","5.547053813934326","5.547053813934326","5.547053813934326","5.539523601531982","5.539523601531982","5.539523601531982","5.5578155517578125","5.5578155517578125","5.5578155517578125","5.457958221435547","5.457958221435547","5.457958221435547","5.530661582946777","5.530661582946777","5.530661582946777"
"3200","5.554373264312744","5.554373264312744","5.554373264312744","5.502821445465088","5.502821445465088","5.502821445465088","5.574657440185547","5.574657440185547","5.574657440185547","5.5133585929870605","5.5133585929870605","5.5133585929870605","5.564076900482178","5.564076900482178","5.564076900482178"
"3300","5.54616117477417","5.54616117477417","5.54616117477417","5.489319801330566","5.489319801330566","5.489319801330566","5.5430450439453125","5.5430450439453125","5.5430450439453125","5.536811351776123","5.536811351776123","5.536811351776123","5.522286415100098","5.522286415100098","5.522286415100098"
"3400","5.561575889587402","5.561575889587402","5.561575889587402","5.587220668792725","5.587220668792725","5.587220668792725","5.526943683624268","5.526943683624268","5.526943683624268","5.473743438720703","5.473743438720703","5.473743438720703","5.579569339752197","5.579569339752197","5.579569339752197"
