"Step","offset 100 (3) - mu_0","offset 100 (3) - mu_0__MIN","offset 100 (3) - mu_0__MAX","offset 100 (2) - mu_0","offset 100 (2) - mu_0__MIN","offset 100 (2) - mu_0__MAX","offset 100 (1) - mu_0","offset 100 (1) - mu_0__MIN","offset 100 (1) - mu_0__MAX","offset 100 (5) - mu_0","offset 100 (5) - mu_0__MIN","offset 100 (5) - mu_0__MAX","offset 100 (4) - mu_0","offset 100 (4) - mu_0__MIN","offset 100 (4) - mu_0__MAX"
"2200","72.61605072021484","72.61605072021484","72.61605072021484","90.95292663574219","90.95292663574219","90.95292663574219","175.2315216064453","175.2315216064453","175.2315216064453","37.61664962768555","37.61664962768555","37.61664962768555","179.95855712890625","179.95855712890625","179.95855712890625"
"2300","72.681884765625","72.681884765625","72.681884765625","91.43373107910156","91.43373107910156","91.43373107910156","175.21205139160156","175.21205139160156","175.21205139160156","37.19811248779297","37.19811248779297","37.19811248779297","179.8632049560547","179.8632049560547","179.8632049560547"
"2400","72.94725799560547","72.94725799560547","72.94725799560547","92.2399673461914","92.2399673461914","92.2399673461914","175.10079956054688","175.10079956054688","175.10079956054688","36.62088394165039","36.62088394165039","36.62088394165039","179.6007537841797","179.6007537841797","179.6007537841797"
"2500","73.43370819091797","73.43370819091797","73.43370819091797","91.73796081542969","91.73796081542969","91.73796081542969","174.53985595703125","174.53985595703125","174.53985595703125","36.86796569824219","36.86796569824219","36.86796569824219","179.8922119140625","179.8922119140625","179.8922119140625"
"2600","73.74073791503906","73.74073791503906","73.74073791503906","91.0222396850586","91.0222396850586","91.0222396850586","174.502197265625","174.502197265625","174.502197265625","36.78303909301758","36.78303909301758","36.78303909301758","179.60250854492188","179.60250854492188","179.60250854492188"
"2700","73.68498229980469","73.68498229980469","73.68498229980469","91.46365356445312","91.46365356445312","91.46365356445312","174.73123168945312","174.73123168945312","174.73123168945312","37.283721923828125","37.283721923828125","37.283721923828125","179.2725372314453","179.2725372314453","179.2725372314453"
"2800","73.9341049194336","73.9341049194336","73.9341049194336","92.93841552734375","92.93841552734375","92.93841552734375","175.0638427734375","175.0638427734375","175.0638427734375","37.642581939697266","37.642581939697266","37.642581939697266","179.7511444091797","179.7511444091797","179.7511444091797"
"2900","73.97737884521484","73.97737884521484","73.97737884521484","94.33245086669922","94.33245086669922","94.33245086669922","174.89210510253906","174.89210510253906","174.89210510253906","37.4815559387207","37.4815559387207","37.4815559387207","180.02655029296875","180.02655029296875","180.02655029296875"
"3000","74.34502410888672","74.34502410888672","74.34502410888672","94.87126922607422","94.87126922607422","94.87126922607422","174.94076538085938","174.94076538085938","174.94076538085938","37.44784164428711","37.44784164428711","37.44784164428711","180.45201110839844","180.45201110839844","180.45201110839844"
"3100","75.39586639404297","75.39586639404297","75.39586639404297","95.09506225585938","95.09506225585938","95.09506225585938","174.87928771972656","174.87928771972656","174.87928771972656","37.28489685058594","37.28489685058594","37.28489685058594","180.40452575683594","180.40452575683594","180.40452575683594"
"3200","75.39106750488281","75.39106750488281","75.39106750488281","93.88829803466797","93.88829803466797","93.88829803466797","175.19155883789062","175.19155883789062","175.19155883789062","37.83290100097656","37.83290100097656","37.83290100097656","180.32992553710938","180.32992553710938","180.32992553710938"
"3300","75.44046783447266","75.44046783447266","75.44046783447266","94.0410385131836","94.0410385131836","94.0410385131836","174.93710327148438","174.93710327148438","174.93710327148438","37.9675178527832","37.9675178527832","37.9675178527832","180.0462188720703","180.0462188720703","180.0462188720703"
"3400","75.63603973388672","75.63603973388672","75.63603973388672","91.99005126953125","91.99005126953125","91.99005126953125","174.2675018310547","174.2675018310547","174.2675018310547","38.45967102050781","38.45967102050781","38.45967102050781","180.832275390625","180.832275390625","180.832275390625"
"3500","76.17259216308594","76.17259216308594","76.17259216308594","90.26142120361328","90.26142120361328","90.26142120361328","174.65223693847656","174.65223693847656","174.65223693847656","38.8299674987793","38.8299674987793","38.8299674987793","181.00494384765625","181.00494384765625","181.00494384765625"
"3600","75.99222564697266","75.99222564697266","75.99222564697266","89.55049896240234","89.55049896240234","89.55049896240234","175.21694946289062","175.21694946289062","175.21694946289062","38.711097717285156","38.711097717285156","38.711097717285156","180.72837829589844","180.72837829589844","180.72837829589844"
"3700","76.10307312011719","76.10307312011719","76.10307312011719","90.90154266357422","90.90154266357422","90.90154266357422","175.0220489501953","175.0220489501953","175.0220489501953","39.55806350708008","39.55806350708008","39.55806350708008","180.3633270263672","180.3633270263672","180.3633270263672"
"3800","76.92092895507812","76.92092895507812","76.92092895507812","92.43565368652344","92.43565368652344","92.43565368652344","173.9482421875","173.9482421875","173.9482421875","39.58873748779297","39.58873748779297","39.58873748779297","180.27223205566406","180.27223205566406","180.27223205566406"
"3900","77.9032974243164","77.9032974243164","77.9032974243164","93.45446014404297","93.45446014404297","93.45446014404297","174.10365295410156","174.10365295410156","174.10365295410156","39.36781692504883","39.36781692504883","39.36781692504883","179.89208984375","179.89208984375","179.89208984375"
"4000","78.77577209472656","78.77577209472656","78.77577209472656","94.05453491210938","94.05453491210938","94.05453491210938","174.40176391601562","174.40176391601562","174.40176391601562","39.537803649902344","39.537803649902344","39.537803649902344","179.8849334716797","179.8849334716797","179.8849334716797"
