"Step","offset 200 (3) modulo - loss","offset 200 (3) modulo - loss__MIN","offset 200 (3) modulo - loss__MAX","offset 200 (2) modulo - loss","offset 200 (2) modulo - loss__MIN","offset 200 (2) modulo - loss__MAX","offset 200 (1) modulo - loss","offset 200 (1) modulo - loss__MIN","offset 200 (1) modulo - loss__MAX"
"3800","5.558823108673096","5.558823108673096","5.558823108673096","0.0006398777477443218","0.0006398777477443218","0.0006398777477443218","0.001438365550711751","0.001438365550711751","0.001438365550711751"
"3900","5.362109184265137","5.362109184265137","5.362109184265137","0.00048447586596012115","0.00048447586596012115","0.00048447586596012115","0.0008160006254911423","0.0008160006254911423","0.0008160006254911423"
"4000","5.495238780975342","5.495238780975342","5.495238780975342","0.00039516284596174955","0.00039516284596174955","0.00039516284596174955","0.0006740911048837006","0.0006740911048837006","0.0006740911048837006"
"4100","4.042442321777344","4.042442321777344","4.042442321777344","0.00034689647145569324","0.00034689647145569324","0.00034689647145569324","0.0010758196003735065","0.0010758196003735065","0.0010758196003735065"
"4200","0.8425184488296509","0.8425184488296509","0.8425184488296509","0.00023661850718781352","0.00023661850718781352","0.00023661850718781352","0.00035753604606725276","0.00035753604606725276","0.00035753604606725276"
"4300","0.16169145703315735","0.16169145703315735","0.16169145703315735","0.00019683614664245397","0.00019683614664245397","0.00019683614664245397","0.0002426213468424976","0.0002426213468424976","0.0002426213468424976"
"4400","0.008393151685595512","0.008393151685595512","0.008393151685595512","0.0001843894860940054","0.0001843894860940054","0.0001843894860940054","0.00021589690004475415","0.00021589690004475415","0.00021589690004475415"
"4500","0.0008795091416686773","0.0008795091416686773","0.0008795091416686773","1.473301649093628","1.473301649093628","1.473301649093628","0.00021955279225949198","0.00021955279225949198","0.00021955279225949198"
"4600","0.0010626566363498569","0.0010626566363498569","0.0010626566363498569","0.0005990886711515486","0.0005990886711515486","0.0005990886711515486","0.00018739809456747025","0.00018739809456747025","0.00018739809456747025"
"4700","0.0007863607024773955","0.0007863607024773955","0.0007863607024773955","0.00023203413002192974","0.00023203413002192974","0.00023203413002192974","0.00017541208944749087","0.00017541208944749087","0.00017541208944749087"
"4800","0.00048819632502272725","0.00048819632502272725","0.00048819632502272725","0.0002763177326414734","0.0002763177326414734","0.0002763177326414734","0.00015995840658433735","0.00015995840658433735","0.00015995840658433735"
"4900","0.0003818473487626761","0.0003818473487626761","0.0003818473487626761","0.00016936995962169021","0.00016936995962169021","0.00016936995962169021","0.00015094064292497933","0.00015094064292497933","0.00015094064292497933"
"5000","0.00030315606272779405","0.00030315606272779405","0.00030315606272779405","0.00012269317812751979","0.00012269317812751979","0.00012269317812751979","0.00014560858835466206","0.00014560858835466206","0.00014560858835466206"
"5100","0.0003617819747887552","0.0003617819747887552","0.0003617819747887552","0.00014079683751333505","0.00014079683751333505","0.00014079683751333505","0.00011234799603698775","0.00011234799603698775","0.00011234799603698775"
"5200","0.0002712797140702605","0.0002712797140702605","0.0002712797140702605","0.00012282778334338218","0.00012282778334338218","0.00012282778334338218","0.0000971352492342703","0.0000971352492342703","0.0000971352492342703"
"5300","0.00022395113774109632","0.00022395113774109632","0.00022395113774109632","0.00023313032579608262","0.00023313032579608262","0.00023313032579608262","0.00009156205487670377","0.00009156205487670377","0.00009156205487670377"
"5400","0.0333007350564003","0.0333007350564003","0.0333007350564003","0.00013742910232394934","0.00013742910232394934","0.00013742910232394934","6.02950382232666","6.02950382232666","6.02950382232666"
"5500","0.004311118274927139","0.004311118274927139","0.004311118274927139","0.00011840403021778911","0.00011840403021778911","0.00011840403021778911","0.8120549917221069","0.8120549917221069","0.8120549917221069"
"5600","0.0004055964236613363","0.0004055964236613363","0.0004055964236613363","0.00011497436207719147","0.00011497436207719147","0.00011497436207719147","3.852267265319824","3.852267265319824","3.852267265319824"
"5700","0.0002876804501283914","0.0002876804501283914","0.0002876804501283914","0.00010798830771818757","0.00010798830771818757","0.00010798830771818757","0.0061376322992146015","0.0061376322992146015","0.0061376322992146015"
"5800","0.0002634005213622004","0.0002634005213622004","0.0002634005213622004","0.00008970758790383115","0.00008970758790383115","0.00008970758790383115","0.0018237041076645255","0.0018237041076645255","0.0018237041076645255"
"5900","1.768726110458374","1.768726110458374","1.768726110458374","0.00007794396515237167","0.00007794396515237167","0.00007794396515237167","0.00021955354895908386","0.00021955354895908386","0.00021955354895908386"
"6000","0.0017602948937565088","0.0017602948937565088","0.0017602948937565088","0.00020030629821121693","0.00020030629821121693","0.00020030629821121693","0.00019783574680332094","0.00019783574680332094","0.00019783574680332094"
"6100","0.0002670501417014748","0.0002670501417014748","0.0002670501417014748","0.00007748242205707356","0.00007748242205707356","0.00007748242205707356","0.00017087785818148404","0.00017087785818148404","0.00017087785818148404"
"6200","0.00012033633538521826","0.00012033633538521826","0.00012033633538521826","0.00008746455569053069","0.00008746455569053069","0.00008746455569053069","0.00011934153008041903","0.00011934153008041903","0.00011934153008041903"
"6300","0.0000666856940370053","0.0000666856940370053","0.0000666856940370053","0.00006168836262077093","0.00006168836262077093","0.00006168836262077093","0.0001262322475668043","0.0001262322475668043","0.0001262322475668043"
"6400","0.00008323325891979039","0.00008323325891979039","0.00008323325891979039","0.00007322050078073516","0.00007322050078073516","0.00007322050078073516","0.00010649148316588253","0.00010649148316588253","0.00010649148316588253"
"6500","0.00010675050725694746","0.00010675050725694746","0.00010675050725694746","0.00004733211608254351","0.00004733211608254351","0.00004733211608254351","0.00008645172056276351","0.00008645172056276351","0.00008645172056276351"
"6600","0.00006902609311509877","0.00006902609311509877","0.00006902609311509877","0.00007845041545806453","0.00007845041545806453","0.00007845041545806453","0.0000793298240751028","0.0000793298240751028","0.0000793298240751028"
"6700","0.00006509256490971893","0.00006509256490971893","0.00006509256490971893","0.00008434396295342594","0.00008434396295342594","0.00008434396295342594","0.00009527128713671118","0.00009527128713671118","0.00009527128713671118"
"6800","4.775811195373535","4.775811195373535","4.775811195373535","0.00005014087219024077","0.00005014087219024077","0.00005014087219024077","0.00021348112204577774","0.00021348112204577774","0.00021348112204577774"
"6900","0.00014224329788703471","0.00014224329788703471","0.00014224329788703471","4.851307392120361","4.851307392120361","4.851307392120361","0.00013355504779610783","0.00013355504779610783","0.00013355504779610783"
"7000","0.00008699457248440012","0.00008699457248440012","0.00008699457248440012","0.046770721673965454","0.046770721673965454","0.046770721673965454","0.00011496108345454559","0.00011496108345454559","0.00011496108345454559"
"7100","0.00008903541311156005","0.00008903541311156005","0.00008903541311156005","0.002292919671162963","0.002292919671162963","0.002292919671162963","0.00008684638305567205","0.00008684638305567205","0.00008684638305567205"
"7200","0.00010726370965130627","0.00010726370965130627","0.00010726370965130627","0.0001961199304787442","0.0001961199304787442","0.0001961199304787442","0.00007375743734883144","0.00007375743734883144","0.00007375743734883144"
"7300","2.785547971725464","2.785547971725464","2.785547971725464","0.00010680241393856704","0.00010680241393856704","0.00010680241393856704","0.00007888273103162646","0.00007888273103162646","0.00007888273103162646"
"7400","0.0005661258473992348","0.0005661258473992348","0.0005661258473992348","0.00007485774403903633","0.00007485774403903633","0.00007485774403903633","0.00006885558104841039","0.00006885558104841039","0.00006885558104841039"
"7500","0.00011986330355284736","0.00011986330355284736","0.00011986330355284736","0.00006707393913529813","0.00006707393913529813","0.00006707393913529813","0.00003979253597208299","0.00003979253597208299","0.00003979253597208299"
"7600","0.00007220680708996952","0.00007220680708996952","0.00007220680708996952","0.00004415037983562797","0.00004415037983562797","0.00004415037983562797","0.000052256851631682366","0.000052256851631682366","0.000052256851631682366"
"7700","0.00006198589107953012","0.00006198589107953012","0.00006198589107953012","0.000039241229387698695","0.000039241229387698695","0.000039241229387698695","5.269355773925781","5.269355773925781","5.269355773925781"
"7800","0.00004510458529694006","0.00004510458529694006","0.00004510458529694006","0.00003362325151101686","0.00003362325151101686","0.00003362325151101686","0.008649168536067009","0.008649168536067009","0.008649168536067009"
"7900","0.000027700758437276818","0.000027700758437276818","0.000027700758437276818","0.00005118347326060757","0.00005118347326060757","0.00005118347326060757","0.00017521421250421554","0.00017521421250421554","0.00017521421250421554"
"8000","0.00004211670238873921","0.00004211670238873921","0.00004211670238873921","0.00003669314173748717","0.00003669314173748717","0.00003669314173748717","0.00012745281856041402","0.00012745281856041402","0.00012745281856041402"
"8100","0.00003901775198755786","0.00003901775198755786","0.00003901775198755786","0.000023468943254556507","0.000023468943254556507","0.000023468943254556507","0.00006255214975681156","0.00006255214975681156","0.00006255214975681156"
"8200","3.329807996749878","3.329807996749878","3.329807996749878","0.00004683899533119984","0.00004683899533119984","0.00004683899533119984","0.9269236326217651","0.9269236326217651","0.9269236326217651"
"8300","0.02292965166270733","0.02292965166270733","0.02292965166270733","0.000025748619009391405","0.000025748619009391405","0.000025748619009391405","0.00019358347344677895","0.00019358347344677895","0.00019358347344677895"
"8400","0.00017660103912930936","0.00017660103912930936","0.00017660103912930936","0.000016435729776276276","0.000016435729776276276","0.000016435729776276276","0.000045066110033076257","0.000045066110033076257","0.000045066110033076257"
