"Step","offset 100 (3) modulo - loss","offset 100 (3) modulo - loss__MIN","offset 100 (3) modulo - loss__MAX","offset 100 (2) modulo - loss","offset 100 (2) modulo - loss__MIN","offset 100 (2) modulo - loss__MAX","offset 100 (1) modulo - loss","offset 100 (1) modulo - loss__MIN","offset 100 (1) modulo - loss__MAX"
"0","5.70482063293457","5.70482063293457","5.70482063293457","6.153251647949219","6.153251647949219","6.153251647949219","5.696040630340576","5.696040630340576","5.696040630340576"
"100","5.567955493927002","5.567955493927002","5.567955493927002","5.604602813720703","5.604602813720703","5.604602813720703","5.508264541625977","5.508264541625977","5.508264541625977"
"200","5.536778926849365","5.536778926849365","5.536778926849365","5.547781944274902","5.547781944274902","5.547781944274902","5.486071586608887","5.486071586608887","5.486071586608887"
"300","5.623640060424805","5.623640060424805","5.623640060424805","5.617273330688477","5.617273330688477","5.617273330688477","5.50480318069458","5.50480318069458","5.50480318069458"
"400","5.546451091766357","5.546451091766357","5.546451091766357","5.643843650817871","5.643843650817871","5.643843650817871","5.519527912139893","5.519527912139893","5.519527912139893"
"500","5.551391124725342","5.551391124725342","5.551391124725342","5.473487854003906","5.473487854003906","5.473487854003906","5.54571533203125","5.54571533203125","5.54571533203125"
"600","5.528867244720459","5.528867244720459","5.528867244720459","5.535597324371338","5.535597324371338","5.535597324371338","5.507011413574219","5.507011413574219","5.507011413574219"
"700","5.525634765625","5.525634765625","5.525634765625","5.5943403244018555","5.5943403244018555","5.5943403244018555","5.62181282043457","5.62181282043457","5.62181282043457"
"800","5.635302543640137","5.635302543640137","5.635302543640137","5.541689395904541","5.541689395904541","5.541689395904541","5.5731377601623535","5.5731377601623535","5.5731377601623535"
"900","5.4346418380737305","5.4346418380737305","5.4346418380737305","5.559785842895508","5.559785842895508","5.559785842895508","5.625868320465088","5.625868320465088","5.625868320465088"
"1000","5.539987564086914","5.539987564086914","5.539987564086914","5.561165809631348","5.561165809631348","5.561165809631348","5.504788875579834","5.504788875579834","5.504788875579834"
"1100","5.493722915649414","5.493722915649414","5.493722915649414","5.538975238800049","5.538975238800049","5.538975238800049","5.5593390464782715","5.5593390464782715","5.5593390464782715"
"1200","5.596377372741699","5.596377372741699","5.596377372741699","5.5492048263549805","5.5492048263549805","5.5492048263549805","5.492151737213135","5.492151737213135","5.492151737213135"
"1300","5.570346355438232","5.570346355438232","5.570346355438232","5.576876163482666","5.576876163482666","5.576876163482666","5.5307512283325195","5.5307512283325195","5.5307512283325195"
"1400","5.452260971069336","5.452260971069336","5.452260971069336","5.436046123504639","5.436046123504639","5.436046123504639","5.555496692657471","5.555496692657471","5.555496692657471"
"1500","5.614421844482422","5.614421844482422","5.614421844482422","5.5702714920043945","5.5702714920043945","5.5702714920043945","5.510027885437012","5.510027885437012","5.510027885437012"
"1600","5.510484218597412","5.510484218597412","5.510484218597412","5.524263381958008","5.524263381958008","5.524263381958008","5.545009136199951","5.545009136199951","5.545009136199951"
"1700","5.577375411987305","5.577375411987305","5.577375411987305","5.5743489265441895","5.5743489265441895","5.5743489265441895","5.555924415588379","5.555924415588379","5.555924415588379"
"1800","5.510237693786621","5.510237693786621","5.510237693786621","5.4744696617126465","5.4744696617126465","5.4744696617126465","5.474172115325928","5.474172115325928","5.474172115325928"
"1900","5.512304306030273","5.512304306030273","5.512304306030273","5.5330939292907715","5.5330939292907715","5.5330939292907715","5.50023078918457","5.50023078918457","5.50023078918457"
"2000","5.574580669403076","5.574580669403076","5.574580669403076","5.5039381980896","5.5039381980896","5.5039381980896","5.547914981842041","5.547914981842041","5.547914981842041"
"2100","5.586785793304443","5.586785793304443","5.586785793304443","5.492015361785889","5.492015361785889","5.492015361785889","5.56726598739624","5.56726598739624","5.56726598739624"
"2200","5.532866477966309","5.532866477966309","5.532866477966309","5.633946418762207","5.633946418762207","5.633946418762207","5.498895168304443","5.498895168304443","5.498895168304443"
"2300","5.508595943450928","5.508595943450928","5.508595943450928","5.603565692901611","5.603565692901611","5.603565692901611","5.540690898895264","5.540690898895264","5.540690898895264"
