"Step","convolv-simple-sparse-offset-100 - loss","convolv-simple-sparse-offset-100 - loss__MIN","convolv-simple-sparse-offset-100 - loss__MAX"
"0","6.082709789276123","6.082709789276123","6.082709789276123"
"100","5.630353927612305","5.630353927612305","5.630353927612305"
"200","5.572427749633789","5.572427749633789","5.572427749633789"
"300","5.619765758514404","5.619765758514404","5.619765758514404"
"400","5.398801326751709","5.398801326751709","5.398801326751709"
"500","5.537383079528809","5.537383079528809","5.537383079528809"
"600","5.604343891143799","5.604343891143799","5.604343891143799"
"700","5.570355415344238","5.570355415344238","5.570355415344238"
"800","5.752407073974609","5.752407073974609","5.752407073974609"
"900","5.551998138427734","5.551998138427734","5.551998138427734"
"1000","5.615399360656738","5.615399360656738","5.615399360656738"
"1100","5.547784805297852","5.547784805297852","5.547784805297852"
"1200","5.591947078704834","5.591947078704834","5.591947078704834"
"1300","5.494601726531982","5.494601726531982","5.494601726531982"
"1400","5.540987014770508","5.540987014770508","5.540987014770508"
"1500","5.576963424682617","5.576963424682617","5.576963424682617"
"1600","5.561028003692627","5.561028003692627","5.561028003692627"
"1700","5.569469451904297","5.569469451904297","5.569469451904297"
"1800","5.505483150482178","5.505483150482178","5.505483150482178"
"1900","5.488775253295898","5.488775253295898","5.488775253295898"
"2000","5.599371433258057","5.599371433258057","5.599371433258057"
"2100","5.550500869750977","5.550500869750977","5.550500869750977"
"2200","5.591877460479736","5.591877460479736","5.591877460479736"
"2300","5.529654502868652","5.529654502868652","5.529654502868652"
"2400","5.474878787994385","5.474878787994385","5.474878787994385"
"2500","5.5639214515686035","5.5639214515686035","5.5639214515686035"
"2600","5.567078113555908","5.567078113555908","5.567078113555908"
"2700","5.561676502227783","5.561676502227783","5.561676502227783"
"2800","5.563054084777832","5.563054084777832","5.563054084777832"
"2900","5.5681047439575195","5.5681047439575195","5.5681047439575195"
"3000","5.493463039398193","5.493463039398193","5.493463039398193"
"3100","5.535409450531006","5.535409450531006","5.535409450531006"
"3200","5.514834403991699","5.514834403991699","5.514834403991699"
