"Step","convolv-simple-sparse-offset-200 - loss","convolv-simple-sparse-offset-200 - loss__MIN","convolv-simple-sparse-offset-200 - loss__MAX"
"0","5.726271629333496","5.726271629333496","5.726271629333496"
"100","5.5037102699279785","5.5037102699279785","5.5037102699279785"
"200","5.560181140899658","5.560181140899658","5.560181140899658"
"300","5.541727542877197","5.541727542877197","5.541727542877197"
"400","5.479491233825684","5.479491233825684","5.479491233825684"
"500","5.494025707244873","5.494025707244873","5.494025707244873"
"600","5.683020114898682","5.683020114898682","5.683020114898682"
"700","5.4843316078186035","5.4843316078186035","5.4843316078186035"
"800","5.563085079193115","5.563085079193115","5.563085079193115"
"900","5.5841450691223145","5.5841450691223145","5.5841450691223145"
"1000","5.593283176422119","5.593283176422119","5.593283176422119"
"1100","5.598777770996094","5.598777770996094","5.598777770996094"
"1200","5.542611598968506","5.542611598968506","5.542611598968506"
"1300","5.531450271606445","5.531450271606445","5.531450271606445"
"1400","5.581811904907227","5.581811904907227","5.581811904907227"
"1500","5.553988456726074","5.553988456726074","5.553988456726074"
"1600","5.574002742767334","5.574002742767334","5.574002742767334"
"1700","5.537869453430176","5.537869453430176","5.537869453430176"
"1800","5.554529190063477","5.554529190063477","5.554529190063477"
"1900","5.455152988433838","5.455152988433838","5.455152988433838"
"2000","5.544302940368652","5.544302940368652","5.544302940368652"
"2100","5.545754432678223","5.545754432678223","5.545754432678223"
"2200","5.597042560577393","5.597042560577393","5.597042560577393"
"2300","5.535704612731934","5.535704612731934","5.535704612731934"
"2400","5.5126423835754395","5.5126423835754395","5.5126423835754395"
"2500","5.605772495269775","5.605772495269775","5.605772495269775"
"2600","5.526663780212402","5.526663780212402","5.526663780212402"
"2700","5.542797565460205","5.542797565460205","5.542797565460205"
"2800","5.468014717102051","5.468014717102051","5.468014717102051"
"2900","5.561021327972412","5.561021327972412","5.561021327972412"
"3000","5.512350559234619","5.512350559234619","5.512350559234619"
"3100","5.530218601226807","5.530218601226807","5.530218601226807"
"3200","5.503355026245117","5.503355026245117","5.503355026245117"
"3300","5.553062915802002","5.553062915802002","5.553062915802002"
"3400","5.549322128295898","5.549322128295898","5.549322128295898"
"3500","5.545679569244385","5.545679569244385","5.545679569244385"
"3600","5.5018486976623535","5.5018486976623535","5.5018486976623535"
"3700","5.536045074462891","5.536045074462891","5.536045074462891"
"3800","5.477294921875","5.477294921875","5.477294921875"
"3900","5.576735496520996","5.576735496520996","5.576735496520996"
"4000","5.513319969177246","5.513319969177246","5.513319969177246"
"4100","5.532948017120361","5.532948017120361","5.532948017120361"
"4200","5.517179489135742","5.517179489135742","5.517179489135742"
"4300","5.5335540771484375","5.5335540771484375","5.5335540771484375"
"4400","5.56757116317749","5.56757116317749","5.56757116317749"
"4500","5.54379940032959","5.54379940032959","5.54379940032959"
"4600","5.554626941680908","5.554626941680908","5.554626941680908"
"4700","5.519376277923584","5.519376277923584","5.519376277923584"
"4800","5.50323486328125","5.50323486328125","5.50323486328125"
"4900","5.566342830657959","5.566342830657959","5.566342830657959"
"5000","5.528572082519531","5.528572082519531","5.528572082519531"
"5100","5.491732597351074","5.491732597351074","5.491732597351074"
"5200","5.5725812911987305","5.5725812911987305","5.5725812911987305"
"5300","5.5440874099731445","5.5440874099731445","5.5440874099731445"
"5400","5.56887674331665","5.56887674331665","5.56887674331665"
"5500","5.507256507873535","5.507256507873535","5.507256507873535"
"5600","5.490614414215088","5.490614414215088","5.490614414215088"
"5700","5.622103691101074","5.622103691101074","5.622103691101074"
"5800","5.573163986206055","5.573163986206055","5.573163986206055"
"5900","5.469966411590576","5.469966411590576","5.469966411590576"
"6000","5.5237860679626465","5.5237860679626465","5.5237860679626465"
